Kanton,AK,Electorate,Vote_Turnout,Yes,No,Yes_No
Zªrich,ZH,892236,509868,0.47,0.53,-0.03
Bern,BE,724046,396658,0.51,0.49,0.01
Luzern,LU,266315,153352,0.53,0.47,0.03
Uri,UR,26238,13183,0.58,0.42,0.08
Schwyz,SZ,100884,61377,0.63,0.37,0.13
Obwalden,OW,25846,15599,0.59,0.41,0.09
Nidwalden,NW,30655,18568,0.59,0.41,0.09
Glarus,GL,26149,13315,0.59,0.41,0.09
Zug,ZG,73385,44861,0.5,0.5,0
Freiburg,FR,191460,107281,0.49,0.52,-0.02
Solothurn,SO,175704,97735,0.55,0.45,0.05
Basel-Stadt,BS,113929,64720,0.39,0.61,-0.11
Basel-Landschaft,BL,187103,102891,0.51,0.49,0.01
Schaffhausen,SH,50584,35656,0.58,0.42,0.08
Appenzell A.-Rh.,AR,38110,22008,0.54,0.46,0.04
Appenzell I.-Rh.,AI,11447,5992,0.64,0.37,0.14
St. Gallen,SG,314787,174858,0.56,0.44,0.06
Graubªnden,GR,136368,71838,0.51,0.49,0.01
Aargau,AG,407796,224980,0.55,0.45,0.05
Thurgau,TG,164958,88563,0.58,0.42,0.08
Tessin,TI,215852,123208,0.68,0.32,0.18
Waadt,VD,419300,243323,0.39,0.61,-0.11
Wallis,VS,212505,130806,0.48,0.52,-0.02
Neuenburg,NE,110629,61272,0.39,0.61,-0.11
Genf,GE,243652,139846,0.39,0.61,-0.11
Jura,JU,51488,26398,0.44,0.56,-0.06